"title","industry","genre","year","director","cast","rating","description","poster_url"
"De Dana Dan","Bollywood","Comedy","2009","Priyadarshan","Akshay Kumar, Sunil Shetty, Katrina Kaif, Sameera Reddy","7.1","A Bollywood Comedy film released in 2009, directed by Priyadarshan and starring Akshay Kumar, Sunil Shetty, Katrina Kaif, Sameera Reddy.",""
"Boond","Bollywood","Action Crime Drama","2001","Inayat Mahshar","Navin Berry, Pankaj Berry, Birbal, Sudhir Dalvi","4.4","A Bollywood Action Crime Drama film released in 2001, directed by Inayat Mahshar and starring Navin Berry, Pankaj Berry, Birbal, Sudhir Dalvi.",""
"Summer 2007","Bollywood","Crime Drama Thriller","2008","Sohail Tatari","Ahraz Ahmed, Punit Aneja, Arjan Bajwa, Neetu Chandra","4.4","A Bollywood Crime Drama Thriller film released in 2008, directed by Sohail Tatari and starring Ahraz Ahmed, Punit Aneja, Arjan Bajwa, Neetu Chandra.",""
"Gulaal","Bollywood","Crime Drama Mystery","2009","Anurag Kashyap","Kay Kay Menon, Raj Singh Chaudhary, Jesse Randhawa, Deepak Dobriyal","5.3","A Bollywood Crime Drama Mystery film released in 2009, directed by Anurag Kashyap and starring Kay Kay Menon, Raj Singh Chaudhary, Jesse Randhawa, Deepak Dobriyal.",""
"Mirchi: It's Hot","Bollywood","Crime","2004","Dinesh D. Awasthi","Bobby Khan, Nilofer Khan, Sambhavna Sheth, Nirmal Pandey","4.4","A Bollywood Crime film released in 2004, directed by Dinesh D. Awasthi and starring Bobby Khan, Nilofer Khan, Sambhavna Sheth, Nirmal Pandey.",""
"Chamku","Bollywood","Action Crime Drama","2008","Kabeer Kaushik","Bobby Deol, Priyanka Chopra, Irrfan Khan, Akhilendra Mishra","4.4","A Bollywood Action Crime Drama film released in 2008, directed by Kabeer Kaushik and starring Bobby Deol, Priyanka Chopra, Irrfan Khan, Akhilendra Mishra.",""
"Mumbai Meri Jaan","Bollywood","Drama","2008","Nishikant Kamat","Paresh Rawal, Kay Kay Menon, Irrfan Khan, Madhavan","5.3","A Bollywood Drama film released in 2008, directed by Nishikant Kamat and starring Paresh Rawal, Kay Kay Menon, Irrfan Khan, Madhavan.",""
"Thodi Life Thoda Magic","Bollywood","Drama","2008","Aanand Rai","Saahil Chadha, Arbaaz Khan, Anita Raj, Jackie Shroff","4.4","A Bollywood Drama film released in 2008, directed by Aanand Rai and starring Saahil Chadha, Arbaaz Khan, Anita Raj, Jackie Shroff.",""
"Phoonk","Bollywood","Drama Horror Mystery","2008","Ram Gopal Varma","Sudeep, Amruta Khanvilkar, Ahsaas Channa, Ashwini Khalsekar","8.9","A Bollywood Drama Horror Mystery film released in 2008, directed by Ram Gopal Varma and starring Sudeep, Amruta Khanvilkar, Ahsaas Channa, Ashwini Khalsekar.",""
"Kaminey: The Scoundrels","Bollywood","Action Comedy Crime","2009","Vishal Bhardwaj","Shahid Kapoor, Priyanka Chopra, Deb Mukherjee, Shivkumar Subramaniam","7.1","A Bollywood Action Comedy Crime film released in 2009, directed by Vishal Bhardwaj and starring Shahid Kapoor, Priyanka Chopra, Deb Mukherjee, Shivkumar Subramaniam.",""
"Love Aaj Kal","Bollywood","Comedy Drama Romance","2009","Imtiaz Ali","Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna","4.4","A Bollywood Comedy Drama Romance film released in 2009, directed by Imtiaz Ali and starring Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna.",""
"Sikandar","Bollywood","Crime Drama Mystery","2009","Piyush Jha","Parzan Dastur, Ayesha Kapoor, Sanjay Suri, Madhavan","4.4","A Bollywood Crime Drama Mystery film released in 2009, directed by Piyush Jha and starring Parzan Dastur, Ayesha Kapoor, Sanjay Suri, Madhavan.",""
"Ramaa: The Saviour","Bollywood","Animation Action Adventure","2010","Hadi Abrar","Sahil Khan, Tanushree Dutta, Meghan Jadhav, Koushtuv Ghosh","4.4","A Bollywood Animation Action Adventure film released in 2010, directed by Hadi Abrar and starring Sahil Khan, Tanushree Dutta, Meghan Jadhav, Koushtuv Ghosh.",""
"A Wednesday","Bollywood","Drama Thriller","2008","Neeraj Pandey","Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw","8.9","A Bollywood Drama Thriller film released in 2008, directed by Neeraj Pandey and starring Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw.",""
"My Friend Ganesha 2","Bollywood","Animation Family","2008","Rajiv S. Ruia","Harsh Chhaya, Kurush Deboo, Bhairavi Goswami, Ali Haji","4.4","A Bollywood Animation Family film released in 2008, directed by Rajiv S. Ruia and starring Harsh Chhaya, Kurush Deboo, Bhairavi Goswami, Ali Haji.",""
"Don 2","Bollywood","Action Crime Drama","2011","Farhan Akhtar","Shah Rukh Khan, Priyanka Chopra, Hrithik Roshan, Om Puri","8.9","A Bollywood Action Crime Drama film released in 2011, directed by Farhan Akhtar and starring Shah Rukh Khan, Priyanka Chopra, Hrithik Roshan, Om Puri.",""
"Lahore","Bollywood","Action Drama Sport","2010","Sanjay Puransingh Chauhan","Farooq Shaikh, Nafisa Ali, Aanaahad, Sabyasachi Chakraborty","4.4","A Bollywood Action Drama Sport film released in 2010, directed by Sanjay Puransingh Chauhan and starring Farooq Shaikh, Nafisa Ali, Aanaahad, Sabyasachi Chakraborty.",""
"Mukhbiir","Bollywood","Crime Drama Mystery","2008","Mani Shankar","Sammir Dattani, Rahul Dev, Om Puri, Alok Nath","4.4","A Bollywood Crime Drama Mystery film released in 2008, directed by Mani Shankar and starring Sammir Dattani, Rahul Dev, Om Puri, Alok Nath.",""
